iter	Passed	Remaining
0	0	26
1	0	26
2	0	24
3	0	22
4	1	22
5	1	21
6	1	21
7	1	21
8	2	21
9	2	20
10	2	20
11	2	20
12	3	20
13	3	20
14	3	19
15	3	19
16	4	19
17	4	19
18	4	19
19	4	19
20	5	18
21	5	18
22	5	18
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	9
65	17	8
66	17	8
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	24	4
85	25	4
86	25	3
87	26	3
88	26	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	29	1
95	31	1
96	31	0
97	32	0
98	35	0
99	36	0
