iter	Passed	Remaining
0	60	60374
1	60	30301
2	61	20273
3	61	15258
4	61	12253
5	61	10242
6	62	8811
7	62	7733
8	62	6895
9	62	6226
10	63	5677
11	63	5219
12	63	4831
13	63	4501
14	64	4216
15	64	3969
16	64	3747
17	65	3551
18	65	3373
19	65	3214
20	65	3070
21	66	2938
22	66	2820
23	66	2712
24	66	2611
25	67	2517
26	67	2431
27	67	2351
28	67	2275
29	68	2205
30	68	2140
31	68	2078
32	68	2020
33	69	1967
34	69	1915
35	69	1867
36	69	1821
37	70	1777
38	70	1736
39	70	1698
40	70	1660
41	71	1625
42	71	1591
43	71	1559
44	72	1528
45	72	1500
46	72	1471
47	72	1443
48	73	1417
49	73	1393
50	73	1369
51	73	1346
52	74	1323
53	74	1302
54	74	1282
55	74	1262
56	75	1244
57	75	1228
58	75	1211
59	76	1194
60	76	1178
61	76	1161
62	77	1146
63	77	1132
64	77	1117
65	77	1103
66	78	1088
67	78	1075
68	78	1061
69	78	1048
70	79	1035
71	79	1023
72	79	1011
73	79	1000
74	80	989
75	80	978
76	80	968
77	81	957
78	81	947
79	81	937
80	81	928
81	82	918
82	82	907
83	82	898
84	82	889
85	82	881
86	83	872
87	83	864
88	83	856
89	83	848
90	84	843
91	84	835
92	85	829
93	85	822
94	85	815
95	85	809
96	86	802
97	86	795
98	86	789
99	87	783
100	87	777
101	87	770
102	87	765
103	88	759
104	88	754
105	88	748
106	89	743
107	89	737
108	89	732
109	89	727
110	90	721
111	90	716
112	90	711
113	90	706
114	91	701
115	91	696
116	91	691
117	91	686
118	92	681
119	92	677
120	92	673
121	92	668
122	93	664
123	93	660
124	93	656
125	94	652
126	94	647
127	94	643
128	94	639
129	95	635
130	95	632
131	95	628
132	95	624
133	96	620
134	96	617
135	96	613
136	96	610
137	97	606
138	97	603
139	97	599
140	97	596
141	98	592
142	98	589
143	98	586
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	100	558
153	101	555
154	101	553
155	101	550
156	101	547
157	102	544
158	102	541
159	102	538
160	102	535
161	102	532
162	103	530
163	103	528
164	103	525
165	104	522
166	104	520
167	104	518
168	105	516
169	105	515
170	105	513
171	106	510
172	106	508
173	106	506
174	106	504
175	107	501
176	107	499
177	107	497
178	108	495
179	108	493
180	108	491
181	108	489
182	109	487
183	109	485
184	109	483
185	110	481
186	110	479
187	110	477
188	110	476
189	111	473
190	111	471
191	111	469
192	111	468
193	112	466
194	112	464
195	112	462
196	113	460
197	113	458
198	113	457
199	113	455
200	114	453
201	114	451
202	114	449
203	114	448
204	115	446
205	115	444
206	115	443
207	115	441
208	116	439
209	116	438
210	116	436
211	117	435
212	117	433
213	117	431
214	117	430
215	118	428
216	118	426
217	118	425
218	118	423
219	119	422
220	119	420
221	119	419
222	120	418
223	120	417
224	120	415
225	121	414
226	121	413
227	121	412
228	121	410
229	122	409
230	122	407
231	122	406
232	122	404
233	123	403
234	123	401
235	123	400
236	123	399
237	124	397
238	124	396
239	124	395
240	124	393
241	125	392
242	125	390
243	125	389
244	126	388
245	126	387
246	126	386
247	126	384
248	127	383
249	127	382
250	127	380
251	127	379
252	128	378
253	128	377
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	129	369
260	130	368
261	130	367
262	130	366
263	130	364
264	131	363
265	131	362
266	131	361
267	131	360
268	132	359
269	132	358
270	132	356
271	132	355
272	133	354
273	133	353
274	133	352
275	134	351
276	134	350
277	134	349
278	134	348
279	135	347
280	135	346
281	135	345
282	135	344
283	136	343
284	136	341
285	136	340
286	136	339
287	137	338
288	137	337
289	137	336
290	137	335
291	138	334
292	138	333
293	138	332
294	138	331
295	139	330
296	139	329
297	139	328
298	139	327
299	140	326
300	140	325
301	140	324
302	140	323
303	141	322
304	141	321
305	141	320
306	141	319
307	141	319
308	142	317
309	142	317
310	142	316
311	143	315
312	143	314
313	143	313
314	144	314
315	144	313
316	144	312
317	145	311
318	145	310
319	145	309
320	146	309
321	146	308
322	146	307
323	147	306
324	147	306
325	147	305
326	148	305
327	148	304
328	148	303
329	149	302
330	149	302
331	149	301
332	150	300
333	150	299
334	150	298
335	150	297
336	150	296
337	151	296
338	151	295
339	151	294
340	151	293
341	152	292
342	152	291
343	152	290
344	152	290
345	152	289
346	153	288
347	153	287
348	153	286
349	153	285
350	154	284
351	154	284
352	154	283
353	154	282
354	155	281
355	155	281
356	155	280
357	155	279
358	156	278
359	156	278
360	156	277
361	156	276
362	157	275
363	157	275
364	157	274
365	158	273
366	158	273
367	158	272
368	158	271
369	159	271
370	159	270
371	159	269
372	160	269
373	160	268
374	160	267
375	161	267
376	161	266
377	161	265
378	161	265
379	161	264
380	162	263
381	162	262
382	162	262
383	162	261
384	163	260
385	163	260
386	163	259
387	164	259
388	164	258
389	164	257
390	165	257
391	165	256
392	165	255
393	165	255
394	166	254
395	166	253
396	166	253
397	166	252
398	167	251
399	167	251
400	167	250
401	167	249
402	168	249
403	168	248
404	168	247
405	168	247
406	169	246
407	169	245
408	169	245
409	169	244
410	170	243
411	170	243
412	170	242
413	170	241
414	171	241
415	171	240
416	171	239
417	171	239
418	171	238
419	172	237
420	172	237
421	172	236
422	172	235
423	173	235
424	173	234
425	173	233
426	173	233
427	174	232
428	174	232
429	174	231
430	174	230
431	175	230
432	175	229
433	175	229
434	176	228
435	176	228
436	176	227
437	176	226
438	177	226
439	177	225
440	177	225
441	177	224
442	178	223
443	178	223
444	178	222
445	178	222
446	179	221
447	179	221
448	179	220
449	179	219
450	180	219
451	180	218
452	180	218
453	180	217
454	181	216
455	181	216
456	181	215
457	182	215
458	182	214
459	182	214
460	182	213
461	183	213
462	183	212
463	183	212
464	183	211
465	184	210
466	184	210
467	184	209
468	184	209
469	185	208
470	185	208
471	185	207
472	185	206
473	185	206
474	186	205
475	186	205
476	186	204
477	186	204
478	187	203
479	187	203
480	187	202
481	187	201
482	188	201
483	188	201
484	188	200
485	189	199
486	189	199
487	189	198
488	189	198
489	189	197
490	190	197
491	190	196
492	190	196
493	190	195
494	191	195
495	191	194
496	191	193
497	191	193
498	192	192
499	192	192
500	192	191
501	193	191
502	193	190
503	193	190
504	193	190
505	194	189
506	194	188
507	194	188
508	194	187
509	195	187
510	195	186
511	195	186
512	195	185
513	195	185
514	196	184
515	196	184
516	196	183
517	196	183
518	197	182
519	197	182
520	197	181
521	197	181
522	198	180
523	198	180
524	198	179
525	198	179
526	199	178
527	199	178
528	199	177
529	199	177
530	200	176
531	200	176
532	200	175
533	200	175
534	201	174
535	201	174
536	201	173
537	201	173
538	202	172
539	202	172
540	202	171
541	202	171
542	203	170
543	203	170
544	203	170
545	203	169
546	204	169
547	204	168
548	204	168
549	204	167
550	205	167
551	205	166
552	205	166
553	206	165
554	206	165
555	206	164
556	206	164
557	207	164
558	207	163
559	207	163
560	207	162
561	208	162
562	208	161
563	208	161
564	208	160
565	209	160
566	209	159
567	209	159
568	209	158
569	209	158
570	210	157
571	210	157
572	210	156
573	210	156
574	211	155
575	211	155
576	211	155
577	211	154
578	211	154
579	212	153
580	212	153
581	212	152
582	212	152
583	213	151
584	213	151
585	213	150
586	213	150
587	214	150
588	214	149
589	214	149
590	214	148
591	215	148
592	215	147
593	215	147
594	215	146
595	216	146
596	216	145
597	216	145
598	216	145
599	217	145
600	217	144
601	218	144
602	218	143
603	218	143
604	218	142
605	219	142
606	219	141
607	219	141
608	219	141
609	219	140
610	220	140
611	220	139
612	220	139
613	220	138
614	221	138
615	221	138
616	221	137
617	222	137
618	222	136
619	222	136
620	222	136
621	223	135
622	223	135
623	223	134
624	223	134
625	224	133
626	224	133
627	224	133
628	224	132
629	225	132
630	225	131
631	225	131
632	225	130
633	226	130
634	226	130
635	226	129
636	226	129
637	226	128
638	227	128
639	227	127
640	227	127
641	228	127
642	228	126
643	228	126
644	228	125
645	229	125
646	229	125
647	229	124
648	229	124
649	230	123
650	230	123
651	230	123
652	230	122
653	230	122
654	231	121
655	231	121
656	231	120
657	232	120
658	232	120
659	232	119
660	232	119
661	233	119
662	233	118
663	233	118
664	234	117
665	234	117
666	234	117
667	234	116
668	235	116
669	235	115
670	235	115
671	236	115
672	236	114
673	236	114
674	237	114
675	237	113
676	238	113
677	238	113
678	238	112
679	238	112
680	239	111
681	239	111
682	239	111
683	239	110
684	239	110
685	240	109
686	240	109
687	240	109
688	240	108
689	241	108
690	241	107
691	241	107
692	242	107
693	242	106
694	242	106
695	242	106
696	243	105
697	243	105
698	243	104
699	243	104
700	244	104
701	244	103
702	244	103
703	244	102
704	245	102
705	245	102
706	245	101
707	245	101
708	246	100
709	246	100
710	246	100
711	246	99
712	247	99
713	247	99
714	247	98
715	247	98
716	247	97
717	248	97
718	248	97
719	248	96
720	248	96
721	249	95
722	249	95
723	249	95
724	249	94
725	250	94
726	250	94
727	250	93
728	250	93
729	251	92
730	251	92
731	251	92
732	251	91
733	251	91
734	252	90
735	252	90
736	252	90
737	252	89
738	253	89
739	253	89
740	253	88
741	253	88
742	254	87
743	254	87
744	254	87
745	254	86
746	255	86
747	255	86
748	255	85
749	255	85
750	255	84
751	256	84
752	256	84
753	256	83
754	257	83
755	257	83
756	257	82
757	257	82
758	258	81
759	258	81
760	258	81
761	258	80
762	258	80
763	259	80
764	259	79
765	259	79
766	259	78
767	260	78
768	260	78
769	260	77
770	260	77
771	261	77
772	261	76
773	261	76
774	261	76
775	262	75
776	262	75
777	262	74
778	262	74
779	263	74
780	263	73
781	263	73
782	264	73
783	264	72
784	264	72
785	264	72
786	264	71
787	265	71
788	265	70
789	265	70
790	265	70
791	266	69
792	266	69
793	266	69
794	266	68
795	266	68
796	267	68
797	267	67
798	267	67
799	267	66
800	268	66
801	268	66
802	268	65
803	268	65
804	269	65
805	269	64
806	269	64
807	269	64
808	270	63
809	270	63
810	270	63
811	270	62
812	271	62
813	271	61
814	271	61
815	271	61
816	271	60
817	272	60
818	272	60
819	272	59
820	272	59
821	273	59
822	273	58
823	273	58
824	273	58
825	274	57
826	274	57
827	274	57
828	274	56
829	275	56
830	275	55
831	275	55
832	275	55
833	275	54
834	276	54
835	276	54
836	276	53
837	276	53
838	276	53
839	277	52
840	277	52
841	277	52
842	277	51
843	278	51
844	278	51
845	278	50
846	278	50
847	279	50
848	279	49
849	279	49
850	279	48
851	280	48
852	280	48
853	280	47
854	280	47
855	280	47
856	281	46
857	281	46
858	281	46
859	281	45
860	282	45
861	282	45
862	282	44
863	282	44
864	282	44
865	283	43
866	283	43
867	283	43
868	283	42
869	284	42
870	284	42
871	284	41
872	284	41
873	285	41
874	285	40
875	285	40
876	285	40
877	285	39
878	286	39
879	286	39
880	286	38
881	286	38
882	287	38
883	287	37
884	287	37
885	287	37
886	288	36
887	288	36
888	288	36
889	288	35
890	289	35
891	289	35
892	289	34
893	290	34
894	290	34
895	290	33
896	290	33
897	291	33
898	291	32
899	291	32
900	291	32
901	291	31
902	292	31
903	292	31
904	292	30
905	292	30
906	293	30
907	293	29
908	293	29
909	293	29
910	294	28
911	294	28
912	294	28
913	294	27
914	295	27
915	295	27
916	295	26
917	295	26
918	296	26
919	296	25
920	296	25
921	296	25
922	296	24
923	297	24
924	297	24
925	297	23
926	297	23
927	298	23
928	298	22
929	298	22
930	298	22
931	299	21
932	299	21
933	299	21
934	299	20
935	300	20
936	300	20
937	300	19
938	300	19
939	301	19
940	301	18
941	301	18
942	301	18
943	302	17
944	302	17
945	302	17
946	302	16
947	303	16
948	303	16
949	303	15
950	303	15
951	304	15
952	304	15
953	304	14
954	304	14
955	305	14
956	305	13
957	305	13
958	305	13
959	306	12
960	306	12
961	306	12
962	306	11
963	306	11
964	307	11
965	307	10
966	307	10
967	307	10
968	308	9
969	308	9
970	308	9
971	308	8
972	309	8
973	309	8
974	309	7
975	309	7
976	310	7
977	310	6
978	310	6
979	310	6
980	311	6
981	311	5
982	311	5
983	311	5
984	312	4
985	312	4
986	312	4
987	312	3
988	312	3
989	313	3
990	313	2
991	313	2
992	313	2
993	314	1
994	314	1
995	314	1
996	314	0
997	314	0
998	315	0
999	315	0
